,X,Y,# of Radars,Solution,Longitude,Latitude
151,189,680,2,Vertex,111.0,41.5
152,189,714,2,Vertex,111.0,42.0
153,216,0,2,Vertex,110.5,31.3
154,216,34,2,Vertex,110.5,32.0
155,216,68,2,Vertex,110.5,32.5
156,216,102,2,Vertex,110.5,33.0
157,216,136,2,Vertex,110.5,33.5
158,216,170,2,Vertex,110.5,34.0
159,216,204,2,Vertex,110.5,34.5
160,216,238,2,Vertex,110.5,35.0
161,216,272,2,Vertex,110.5,35.5
162,216,306,2,Vertex,110.5,36.0
163,216,340,2,Vertex,110.5,36.5
164,216,374,2,Vertex,110.5,37.0
165,216,408,2,Vertex,110.5,37.5
166,216,442,2,Vertex,110.5,38.0
167,216,476,2,Vertex,110.5,38.5
168,216,510,2,Vertex,110.5,39.0
169,216,544,2,Vertex,110.5,39.5
170,216,578,2,Vertex,110.5,40.0
171,216,612,2,Vertex,110.5,40.5
172,216,646,2,Vertex,110.5,41.0
173,243,0,2,Vertex,110.0,31.3
174,243,34,2,Vertex,110.0,32.0
175,243,68,2,Vertex,110.0,32.5
176,243,102,2,Vertex,110.0,33.0
177,243,136,2,Vertex,110.0,33.5
178,243,170,2,Vertex,110.0,34.0
179,243,204,2,Vertex,110.0,34.5
180,243,238,2,Vertex,110.0,35.0
181,243,272,2,Vertex,110.0,35.5
182,243,306,2,Vertex,110.0,36.0
183,243,340,2,Vertex,110.0,36.5
184,243,374,2,Vertex,110.0,37.0
185,243,408,2,Vertex,110.0,37.5
186,243,442,2,Vertex,110.0,38.0
187,243,476,2,Vertex,110.0,38.5
188,243,510,2,Vertex,110.0,39.0
189,243,544,2,Vertex,110.0,39.5
190,243,578,2,Vertex,110.0,40.0
191,243,612,2,Vertex,110.0,40.5
192,243,646,2,Vertex,110.0,41.0
193,270,0,2,Vertex,109.5,31.3
194,270,34,2,Vertex,109.5,32.0
195,270,68,2,Vertex,109.5,32.5
196,270,102,2,Vertex,109.5,33.0
197,270,136,2,Vertex,109.5,33.5
198,270,170,2,Vertex,109.5,34.0
199,270,204,2,Vertex,109.5,34.5
200,270,238,2,Vertex,109.5,35.0
201,270,272,2,Vertex,109.5,35.5
202,270,306,2,Vertex,109.5,36.0
203,270,340,2,Vertex,109.5,36.5
204,270,374,2,Vertex,109.5,37.0
205,270,408,2,Vertex,109.5,37.5
206,270,442,2,Vertex,109.5,38.0
207,270,476,2,Vertex,109.5,38.5
208,270,510,2,Vertex,109.5,39.0
209,270,544,2,Vertex,109.5,39.5
210,270,578,2,Vertex,109.5,40.0
211,270,612,2,Vertex,109.5,40.5
212,270,646,2,Vertex,109.5,41.0
213,297,0,2,Vertex,109.0,31.3
214,297,34,2,Vertex,109.0,32.0
215,297,68,2,Vertex,109.0,32.5
216,297,102,2,Vertex,109.0,33.0
217,297,136,2,Vertex,109.0,33.5
218,297,170,2,Vertex,109.0,34.0
219,297,204,2,Radar,109.0,34.5
220,297,238,2,Vertex,109.0,35.0
221,297,272,2,Vertex,109.0,35.5
222,297,306,2,Vertex,109.0,36.0
223,297,340,2,Vertex,109.0,36.5
224,297,374,2,Vertex,109.0,37.0
225,297,408,2,Vertex,109.0,37.5
226,297,442,2,Vertex,109.0,38.0
227,297,476,2,Vertex,109.0,38.5
228,297,510,2,Vertex,109.0,39.0
229,297,544,2,Vertex,109.0,39.5
230,297,578,2,Vertex,109.0,40.0
231,297,612,2,Vertex,109.0,40.5
232,297,646,2,Vertex,109.0,41.0
233,324,0,2,Vertex,108.5,31.3
234,324,34,2,Vertex,108.5,32.0
235,324,68,2,Vertex,108.5,32.5
236,324,102,2,Vertex,108.5,33.0
237,324,136,2,Vertex,108.5,33.5
238,324,170,2,Vertex,108.5,34.0
239,324,204,2,Vertex,108.5,34.5
240,324,238,2,Vertex,108.5,35.0
241,324,272,2,Vertex,108.5,35.5
242,324,306,2,Vertex,108.5,36.0
243,324,340,2,Vertex,108.5,36.5
244,324,374,2,Vertex,108.5,37.0
245,324,408,2,Vertex,108.5,37.5
246,324,442,2,Vertex,108.5,38.0
247,324,476,2,Vertex,108.5,38.5
