,Solution X,Solution Y,DC,Objective,Solution Longitude,Solution Latitude
143,189,442,595.0,362.0,111.0,38.0
144,189,442,596.0,362.0,111.0,38.0
145,189,442,597.0,362.0,111.0,38.0
146,189,442,598.0,362.0,111.0,38.0
147,189,442,599.0,362.0,111.0,38.0
148,216,476,600.0,359.0,110.5,38.5
149,216,476,601.0,359.0,110.5,38.5
150,216,476,602.0,359.0,110.5,38.5
151,216,476,603.0,359.0,110.5,38.5
152,216,476,604.0,359.0,110.5,38.5
153,297,544,605.0,359.0,109.0,39.5
154,297,544,606.0,359.0,109.0,39.5
155,297,544,607.0,359.0,109.0,39.5
156,243,510,608.0,351.0,110.0,39.0
157,243,510,609.0,351.0,110.0,39.0
158,243,510,610.0,351.0,110.0,39.0
159,243,510,611.0,351.0,110.0,39.0
160,243,510,612.0,351.0,110.0,39.0
161,243,510,613.0,351.0,110.0,39.0
162,135,408,614.0,334.0,112.0,37.5
163,162,442,615.0,333.0,111.5,38.0
164,162,442,616.0,333.0,111.5,38.0
165,162,442,617.0,333.0,111.5,38.0
166,162,442,618.0,333.0,111.5,38.0
167,189,476,619.0,327.0,111.0,38.5
168,189,476,620.0,327.0,111.0,38.5
169,189,476,621.0,327.0,111.0,38.5
170,189,476,622.0,327.0,111.0,38.5
171,189,476,623.0,327.0,111.0,38.5
172,189,476,624.0,327.0,111.0,38.5
173,216,510,625.0,323.0,110.5,39.0
174,216,510,626.0,323.0,110.5,39.0
175,216,510,627.0,323.0,110.5,39.0
176,216,510,628.0,323.0,110.5,39.0
177,216,510,629.0,323.0,110.5,39.0
178,216,510,630.0,323.0,110.5,39.0
179,216,510,631.0,323.0,110.5,39.0
180,216,510,632.0,323.0,110.5,39.0
181,216,510,633.0,323.0,110.5,39.0
182,297,578,634.0,314.0,109.0,40.0
183,108,408,635.0,303.0,112.5,37.5
184,108,408,636.0,303.0,112.5,37.5
185,108,408,637.0,303.0,112.5,37.5
186,162,476,638.0,300.0,111.5,38.5
187,162,476,639.0,300.0,111.5,38.5
